"filename", "language", "Dart", "Todo", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\presentation\cubits\prefs\prefs_cubit.dart", "Dart", 52, 0, 2, 10, 64
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\presentation\cubits\prefs\prefs_states.dart", "Dart", 12, 0, 0, 8, 20
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\presentation\pages\components\blur_row.dart", "Dart", 58, 0, 0, 4, 62
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\presentation\pages\components\clear_all_items_button.dart", "Dart", 59, 0, 0, 4, 63
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\presentation\pages\components\dialogs\prefs_save_dialog.dart", "Dart", 52, 0, 0, 4, 56
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\presentation\pages\components\opacity_row.dart", "Dart", 50, 0, 0, 4, 54
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\presentation\pages\components\padding_row.dart", "Dart", 49, 0, 0, 5, 54
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\presentation\pages\components\resize_row.dart", "Dart", 99, 0, 0, 4, 103
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\presentation\pages\components\side_slider.dart", "Dart", 124, 0, 4, 19, 147
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\presentation\pages\components\theme_row.dart", "Dart", 135, 0, 0, 4, 139
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\presentation\pages\settings_window.dart", "Dart", 193, 0, 12, 28, 233
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\main.dart", "Dart", 42, 0, 2, 12, 56
"Total", "-", 4770, 66, 124, 591, 5551
